text,target
 Okay.  Who are you?, Hi.  My name’s Interviewer.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now?"," Yeah, just-- I’m new here.  Mm-hm."
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from?", I’m from Arlington.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool.", Mm-hm.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas."," Oh, cool.  Nice to meet you."
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas. Oh, cool.  Nice to meet you. Nice to meet you too.", Mm-hm.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas. Oh, cool.  Nice to meet you. Nice to meet you too. Mm-hm. So you find everything all right?"," Uh.. yeah, so far."
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas. Oh, cool.  Nice to meet you. Nice to meet you too. Mm-hm. So you find everything all right? Uh.. yeah, so far. Oh, okay.  Oh.  So you moved here for uh.. like, for your- for your uh.. studies or anything?", Uh.. I-- for work.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas. Oh, cool.  Nice to meet you. Nice to meet you too. Mm-hm. So you find everything all right? Uh.. yeah, so far. Oh, okay.  Oh.  So you moved here for uh.. like, for your- for your uh.. studies or anything? Uh.. I-- for work. For work?  Cool.", Mm-hm.
" Okay.  Who are you? Hi.  My name’s Interviewer. Oh, hey, Interviewer.  So you-- so you’ve moved here now? Yeah, just-- I’m new here.  Mm-hm. Cool.  So where you’re from? I’m from Arlington. Arlington?  Cool. Mm-hm. I’m up--  I’m from Dallas. Oh, cool.  Nice to meet you. Nice to meet you too. Mm-hm. So you find everything all right? Uh.. yeah, so far. Oh, okay.  Oh.  So you moved here for uh.. like, for your- for your uh.. studies or anything? Uh.. I-- for work. For work?  Cool. Mm-hm. Me too.", Cool.
