text,target
 Hi., Hi.
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer.", <laughs>
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky."," Oh, I have a new job here so I just moved."
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse.", I work in the hospital up the street.
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice.", Yeah. <laughs>
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice. Yeah. <laughs> Mm, well, welcome to the neighborhood.  It's a very uhm.. friendly neighborhood.  There's uh.. we have a pool and a barbeque area.", Oh.
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice. Yeah. <laughs> Mm, well, welcome to the neighborhood.  It's a very uhm.. friendly neighborhood.  There's uh.. we have a pool and a barbeque area. Oh.wer: Yeah, that sounds awesome.  It sounds like a really tightknit community.", Nice.
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice. Yeah. <laughs> Mm, well, welcome to the neighborhood.  It's a very uhm.. friendly neighborhood.  There's uh.. we have a pool and a barbeque area. Oh.wer: Yeah, that sounds awesome.  It sounds like a really tightknit community. Nice.wer: Uhm.. yeah, I'll be living by myself for now.  Maybe in the future my husband will come but we're still deciding."," Thanks. <laughs> It was so nice of you introducing yourself, since I don't know anyone here."
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice. Yeah. <laughs> Mm, well, welcome to the neighborhood.  It's a very uhm.. friendly neighborhood.  There's uh.. we have a pool and a barbeque area. Oh.wer: Yeah, that sounds awesome.  It sounds like a really tightknit community. Nice.wer: Uhm.. yeah, I'll be living by myself for now.  Maybe in the future my husband will come but we're still deciding. Thanks. <laughs> It was so nice of you introducing yourself, since I don't know anyone here. Okay, well- well maybe we can do some socializing.  We'll do-- get together or do some- something in the future.", Yeah that'd be awesome since I don't know anyone.  It's always great to meet new people.
" Hi. Hi.wer: Yeah, nice to meet you, my name's Interviewer. <laughs>wer: Uh.. I moved from Kentucky. Oh, I have a new job here so I just moved.wer: I'm a nurse. I work in the hospital up the street. All right, that's nice. Yeah. <laughs> Mm, well, welcome to the neighborhood.  It's a very uhm.. friendly neighborhood.  There's uh.. we have a pool and a barbeque area. Oh.wer: Yeah, that sounds awesome.  It sounds like a really tightknit community. Nice.wer: Uhm.. yeah, I'll be living by myself for now.  Maybe in the future my husband will come but we're still deciding. Thanks. <laughs> It was so nice of you introducing yourself, since I don't know anyone here. Okay, well- well maybe we can do some socializing.  We'll do-- get together or do some- something in the future. Yeah that'd be awesome since I don't know anyone.  It's always great to meet new people.wer: Yeah, I love hiking, anything outdoors.", ...I'm into or...
