text,target
 Hi. I see we got new neighbors here. Hi. What is your name? <laughs>," Oh, my name’s Interviewer."
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you?", Uhm.. I am moving with my cat.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name?", Ruby.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy?", Girl.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites?", <laughs> No.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites? <laughs> No. She have fleas?", No.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites? <laughs> No. She have fleas? No. She got her shots?", Yes.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites? <laughs> No. She have fleas? No. She got her shots? Yes. Okay. She’s good. <whispers> What am I supposed to be doing? What are you doing tonight?"," Uhm.. we are just hanging out, unpacking, stuff like that."
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites? <laughs> No. She have fleas? No. She got her shots? Yes. Okay. She’s good. <whispers> What am I supposed to be doing? What are you doing tonight? Uhm.. we are just hanging out, unpacking, stuff like that. Would you like to come over to watch a movie?", Uhm.. sure.
" Hi. I see we got new neighbors here. Hi. What is your name? <laughs> Oh, my name’s Interviewer. <laughs> I see you just moved in. So, who’s moved in with you? Uhm.. I am moving with my cat. What’s your cat name? Ruby. Girl/boy? Girl. She bites? <laughs> No. She have fleas? No. She got her shots? Yes. Okay. She’s good. <whispers> What am I supposed to be doing? What are you doing tonight? Uhm.. we are just hanging out, unpacking, stuff like that. Would you like to come over to watch a movie? Uhm.. sure. Seven o’clock, be there or be sharp.", Okay.
